name,street_address,building_number
University Houses,1-41 Haight Road,1201
Education Building,1000 Bascom Mall,400
Nielsen Tennis Stadium,1000 Highland Ave.,38
Educational Sciences,1025 W. Johnson St.,154
LaBahn Arena,105 East Campus Mall ,227
North Hall,1050 Bascom Mall,52
Lathrop Hall,1050 University Ave.,32
South Hall,1055 Bascom Mall,51
Chemistry Building,1101 University Ave.,47
Art Lofts,111 N. Frances St.,220
Wisconsin Institutes for Medical Research,1111 Highland Ave.,1485
Integrative Biology Research Building,1117 W. Johnson St.,401
Rust-Schreiner Hall,115 N. Orchard St.,158
Chamberlin Hall,1150 University Ave.,55
Ingraham Hall,1155 Observatory Dr.,56
Carillon Tower,1160 Observatory Dr.,487
Charter Street Heating and Cooling Plant,117 N. Charter St.,529
Sewell Social Sciences,1180 Observatory Dr.,46
Waters Residence Hall,1200 Observatory Dr.,559
Brogden Psychology Building,1202 W. Johnson St.,470
UW-Madison Arboretum,1207 Seminole Highway,604
Computer Sciences,1210 W. Dayton St.,155
Medical Sciences,1215 Linden Dr.,0451C
Bardeen Medical Laboratories,1215 Linden Dr.,0451B
Weeks Hall for Geological Sciences,1215 W. Dayton St.,521
1220 Capitol Court (Primate Annex),1220 Capitol Ct.,782
Van Hise Hall,1220 Linden Dr.,482
Wisconsin Primate Center,1223 Capitol Ct.,526
Bradley Memorial Building,1225 Linden Dr.,452
Observatory Hill Office Building,1225 Observatory Dr.,512
"Atmospheric, Oceanic and Space Sciences Building",1225 W. Dayton St.,156
Nancy Nicholas Hall,1300 Linden Dr.,85
Medical Sciences Center,1300 University Ave.,450
Middleton Building,1305 Linden Dr.,455
Union South,1308 W Dayton St,88
School of Social Work Building,1350 University Ave.,453
Washburn Observatory,1401 Observatory Dr.,510
1410 Engineering Dr.,1410 Engineering Dr.,486
Engineering Hall,1415 Engineering Dr.,408
Nutritional Sciences,1415 Linden Dr.,449
Police and Security Facility,1429 Monroe St.,550
Camp Randall Sports Center,1430 Monroe St.,25
1433 Monroe St.,1433 Monroe St.,1095
McClain Athletic Facility,1436 Monroe St.,21
Camp Randall Stadium,1440 Monroe St.,22
Kellner Hall,1440 Monroe St.,460
Agricultural Hall,1450 Linden Dr.,70
Field House,1450 Monroe St.,29
King Hall,1475 Observatory Dr.,0074A
Engineering Research Building,1500 Engineering Dr.,762
Waisman Center,1500 Highland Ave.,459
Materials Science and Engineering Building,1509 University Ave.,520
Tripp Residence Hall,1510 Tripp Cir.,563
Mechanical Engineering Building,1513 University Ave.,407
Carson Gulley Center,1515 Tripp Cir.,565
Adams Residence Hall,1520 Tripp Cir.,564
Bock Laboratories,1525 Linden Dr.,33
Soils Building,1525 Observatory Dr.,0074B
Agricultural Bulletin Building,1535 Observatory Dr.,78
Hiram Smith Hall,1545 Observatory Dr.,76
Engineering Centers Building,1550 Engineering Dr.,481
Microbial Sciences,1550 Linden Dr.,60
Wisconsin Energy Institute,1552 University Ave ,752
Hiram Smith Annex,1555 Observatory Dr.,77
Horticulture,1575 Linden Dr.,0087B
Moore Hall - Agronomy,1575 Linden Dr.,0087A
Plant Sciences,1575 Linden Dr.,0087C
Babcock Hall,1605 Linden Dr.,106
Gilman House (Kronshage),1610 Kronshage Dr.,569
1610 University Ave.,1610 University Ave.,129
Turner House (Kronshage),1620 Kronshage Dr.,568
Mack House (Kronshage),1630 Kronshage Dr.,570
Russell Laboratories,1630 Linden Dr.,114
Leopold Residence Hall,1635 Kronshage Dr.,576
Conover House (Kronshage),1650 Kronshage Dr.,0574C
Holt Center (Kronshage),1650 Kronshage Dr.,0574H
Showerman House (Kronshage),1650 Kronshage Dr.,0574S
Hanson Biomedical Sciences Building,1656 Linden Dr.,94
American Family Children's Hospital,1675 Highland Ave.,1426
Stock Pavilion,1675 Linden Dr.,90
Animal Science Building,1675 Observatory Dr.,118
UW Medical Foundation Centennial Building,1685 Highland Ave ,1435
Enzyme Institute,1710 University Ave.,479
1800 University Ave.,1800 University Ave.,113
Meat Science and Muscle Biology Lab,1805 Linden Dr.,123
Livestock Laboratory,1810 Linden Dr.,115
Dairy Cattle Center,1815 Linden Dr. ,92
UW Foundation,1848 University Ave.,493
1910 Linden Dr.,1910 Linden Dr.,103
Dairy Barn,1915 Linden Dr. ,105
U.S. Dairy Forage Research Center,1925 Linden Dr. ,96
Poultry Research Laboratory,1925 Observatory Dr.,110
Meat Microbiology Lab,1932 Linden Dr.,249
Meat Science & Animal Biologics Discovery,1933 Observatory Dr,149
Phillips Residence Hall,1950 Willow Dr.,507
Goodnight Hall,1975 Willow Dr.,508
Bakke Recreation & Wellbeing Center,1976 Observatory Dr.,81
Veterinary Medicine South,2015 Linden Dr. ,93
Carl Schuman Shelter,2025 Willow Dr.,116
206 Bernard Ct.,206 Bernard Ct.,1082
209 N. Brooks St.,209 N. Brooks St.,788
21 N. Park St.,21 N. Park St.,1078
Biotron Laboratory,2115 Observatory Dr.,45
215-217 N. Brooks St.,215 N. Brooks St.,1060
Wendt Commons,215 N. Randall Ave.,404
Harlow Primate Lab,22 N. Charter St.,527
Teacher Education,225 N. Mills St.,153
Meiklejohn House,228 N. Charter St.,35
Goodman Softball Complex,2415 University Bay Dr.,175
Athletics Operations Building,25 N Breese Terrace,584
Noland Hall,250 N. Mills St.,402
Veterans Administration Hospital,2500 Overlook Terrace,1055
Fleet and Service Garage,27 N. Charter St.,1077
Environmental Health and Safety Building,30 East Campus Mall,549
30 N. Mills St.,30 N. Mills St.,124
Discovery Building,330 N. Orchard,212
333 East Campus Mall,333 East Campus Mall,467
Smith Residence Hall,35 N. Park St.,1079
Bernieâ€™s Place Childcare,39 University Houses,1239
DeLuca Biochemistry Building,420 Henry Mall,84
Chadbourne Residence Hall,420 N. Park St.,557
Tooman Arena,425 Easterdayy Ln,993
Genetics-Biotechnology Center Building,425 Henry Mall,82
Taylor Hall,427 Lorch St.,464
Birge Hall,430 Lincoln Dr.,54
432 East Campus Mall,432 East Campus Mall,0515A
Extension Building,432 N. Lake St.,500
DeLuca Biochemistry Laboratories,433 Babcock Dr.,205
DeLuca Biochemical Sciences Building,440 Henry Mall,204
Wisconsin Veterinary Diagnostic Laboratory,445 Easterday Ln,126
445 Henry Mall,445 Henry Mall,102
McArdle Building,447 Lorch St.,468
45 N. Charter St.,45 N. Charter St.,504
Mosse Humanities Building,455 N. Park St.,469
Agricultural Engineering Building,460 Henry Mall,80
D.C. Smith Greenhouse,465 Babcock Dr.,206
Stovall Building (Wisconsin State Laboratory of Hygiene),465 Henry Mall,476
Service Memorial Institute,470 N. Charter St.,0451A
Sterling Hall,475 N. Charter St.,57
Van Vleck Hall,480 Lincoln Dr.,48
Bascom Hall,500 Lincoln Dr.,50
502 Herrick Dr.,502 Herrick Dr.,111
Cereal Crops Research Unit,502 Walnut St,121
Walnut Street Heating and Cooling Plant,505 Walnut St,49
Veterinary Medicine North,515 Easterday Ln,793
West Campus Cogeneration Facility,515 Walnut St.,120
Horse Barn,520 Elm Dr.,95
Walnut Street Greenhouse,525 Walnut St.,122
Agricultural Engineering Laboratory,540 Elm Dr.,99
Steenbock Library,550 Babcock Dr.,79
Science Hall,550 N. Park St.,53
University Hospital,600 Highland Ave.,1400
Helen C. White Hall,600 N. Park St.,18
Fluno Center For Executive Education,601 University Ave.,139
Nicholas-Johnson Pavilion and Plaza,601 W. Dayton St.,226
The Kohl Center,601 W. Dayton St.,225
Lowell Center,610 Langdon St.,502
WARF Office Building,610 Walnut St.,39
Eagle Heights Community Center,611 Eagle Heights,1299
Witte Residence Hall,615 W. Johnson St.,1246
Agricultural Dean's Residence,620 Babcock Dr.,72
Slichter Residence Hall,625 Babcock Dr.,558
Cole Residence Hall,625 Elm Dr.,555
Sullivan Residence Hall,635 Elm Dr.,556
Humphrey Hall,640 Babcock Dr.,136
Dejope Residence Hall,640 Elm Drive,567
Swenson House (Kronshage),645 Elm Dr.,573
Jorns Hall,650 Babcock Dr.,137
Bradley Residence Hall,650 Elm Dr.,506
Below Alumni Center,650 N. Lake St.,489
Jones House (Kronshage),655 Elm Dr.,572
Water Science and Engineering Laboratory,660 N. Park St.,403
Chamberlin House (Kronshage),665 Elm Dr.,571
Porter Boathouse,680 Babcock Dr.,172
Hasler Laboratory of Limnology,680 N. Park St.,483
Signe Skott Cooper Hall,701 Highland Ave,44
Pyle Center,702 Langdon St.,6
McClimon Sports Complex,702 Walnut St.,40
702 W. Johnson St.,702 West Johnson Street,1072
711 State St.,711 State St.,8122
Armory and Gymnasium (Red Gym),716 Langdon St.,20
Memorial Library,728 State St.,15
Hamel Music Center,740 University Ave,585
Health Sciences Learning Center,750 Highland Ave.,1480
Chazen Museum of Art,750 University Ave,524
Gordon Dining and Event Center,770 W. Dayton St.,1249
Rennebohm Hall,777 Highland Ave.,34
Nicholas Recreation Center,797 W Dayton St,26
Memorial Union,800 Langdon St.,8
Conrad A. Elvehjem Building,800 University Ave.,544
University Club,803 State St.,0515B
Wisconsin Historical Society,816 State St.,16
Vilas Hall,821 University Ave.,545
Sellery Residence Hall,821 W. Johnson St.,1245
Ogg Residence Hall,835 W. Dayton St.,1243
901 University Bay Dr.,901 University Bay Dr.,547
Merit Residence Hall,919 W. Dayton St.,575
Music Hall,925 Bascom Mall,485
Barnard Residence Hall,970 University Ave.,560
Central Kitchen,970 University Ave.,562
Law Building,975 Bascom Mall,430
Radio Hall,975 Observatory Dr.,405
Grainger Hall,975 University Ave.,140
Forest Products Laboratory,One Gifford Pinchot Dr.,36

